Id;Nama Makanan;Harga;Deskripsi;Gambar
24;Mie Goreng Ayam;18.900;Mie Goreng+Ayam+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619034056208/detail/menueditor_item_c184a00c48b14215a416b15e320b530e_1692212614980556726.webp
25;Mie Goreng Spesial;21.300;Mie Goreng+Ayam+Bakso+dobel Telor,Campur+Dadar;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619222007309/detail/menueditor_item_28794517bb7a4dd89906378ac6f83a4b_1692219389903456843.webp
26;Mie Goreng Seafood;22.500;Mie Goreng+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619231669780/detail/menueditor_item_25a3785013b8420586cf57d92923b2a6_1692219429512946604.webp
27;Lo Mie;21.300;Mie Siram Sayuran Isi Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619334698192/detail/menueditor_item_81b6fe8f00604cc0b0e92bd79f7f3682_1692222754690467843.webp
28;Bihun Goreng Ayam;19.500;Bihun Goreng+Sayuran+Ayam+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619361227616/detail/2980b7ec8978473f9639cfd4979b3b5a_1692507185074487745.webp
29;Bihun Goreng Spesial;21.300;Bihun Goreng+Ayam+Bakso+Dobel Telor Campur Dan Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619373181371/detail/1a68af9046794893a7394ac4abc43397_1692507185067148609.webp
30;Bihun Goreng Seafood;22.500;Bihun Goreng+Sayuran+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619394802022/detail/4115e76d70ec41d2a1c03200819dc94a_1692507185522768029.webp
31;Bihun Goreng Sapi;23.400;Bihun Goreng+Sayuran+Daging Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619415015544/detail/menueditor_item_002620fe28f54c7588dbac31dfaa0c6f_1692274840274909053.webp
32;Bihun Goreng Campur;25.200;Bihun Goreng+Sayuran+Ayam+Udang+Cumi+Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619452000508/detail/menueditor_item_ee64c19c24f64a9886a1fe30c5a7ef2a_1692274870825642691.webp
33;Bihun Goreng Sosis;18.900;Bihun Goreng+Sayuran+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619432474731/detail/menueditor_item_66862f77cf03451b95036a9b5dfaa26f_1692275111706622631.webp
34;Bihun Rebus;20.700;Bihun Rebus=Sayuran+Ayam+Bakso+Telur Campur;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619484713840/detail/menueditor_item_870d6bafea88439f8871c85a3c32c339_1692275234457152192.webp
35;Kwetiau Siram Ayam;20.400;Kwetiau Siram=Sayuran+Ayam+Bakso+Telur Campur;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619584026523/detail/menueditor_item_d78d6d95d03c4f9e9b4b1195af7abe54_1692276243900722339.webp
36;Bihun Siram;20.400;Bihun Siram Sayuran+Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619465998870/detail/menueditor_item_6ef73fa5118a4832935eb6b35476cbed_1692275277447970965.webp
37;Kwetiau Goreng Ayam;18.900;Kwetiau Goreng= Sayuran+Ayam+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619502791901/detail/menueditor_item_9754fce4af9845678ca98b7ba62f34cb_1692275318324668751.webp
38;Capcay Goreng Ayam;21.300;Sayuran Capcay+Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620005746593/detail/menueditor_item_8733e6acfd0f4c92b16ba52790176270_1692276273984050643.webp
39;Capcay Kuah Ayam;21.300;Capcay Kuah+Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620013920056/detail/menueditor_item_13426271d3eb44c390c45841fe1d029a_1692276297898644898.webp
40;Capcay Goreng Seafood;24.300;Sayuran+Udang+Cumi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620034689154/detail/menueditor_item_ccbeab74d6c44aa496431eef8f0b6678_1692276584900243712.webp
41;Kwetiau Goreng Spesial;21.300;Kwetiau Goreng=Sayuran+Ayam+Bakso+Dobel Telor,Campur Dan Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619514889926/detail/menueditor_item_9203e808bbb8492e9e6e0508fa5edf66_1692275427149226092.webp
42;Capcay Kuah Seafood;24.300;Sayuran+Udang+Cumi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620043951796/detail/menueditor_item_6ea2f6a4d9b945858c6f563b6ad18a0e_1692276614008645085.webp
43;Kwetiau Goreng Seafood;22.500;Kwetiau Goreng=Sayuran+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619524283016/detail/menueditor_item_265da080dc19427fa7d9702daab45913_1692275458706944563.webp
44;Capcay Goreng Sapi;24.300;Sayuran+Daging Sapi+Bakso Sapi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620053122421/detail/menueditor_item_84d055eeaaf6413cb863f82ff27554ac_1692276636220326270.webp
