Id;Nama Makanan;Harga;Deskripsi;type;Gambar
66;KFC Soup;12.500;1 Prosi KFC Soup;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430201739297884/detail/6e046f26_5945.webp
67;Cream Soup;12.500;1 Porsi Cream Soup;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240430201741389080/detail/29e9cea8_8377.webp
68;Mango Float;13.000;Mango Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240503185412060719/detail/5875de8a_5994.webp
69;Mocha Float;17.500;Mocha Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240126190219147734/detail/037f04a6_8759.webp
70;Crispy Burger;18.500;1pc Crispy Burger;food;https://food-cms.grab.com/compressed_webp/items/IDITE20240503185614298503/detail/b1e04ca8_11175.webp
71;Oriental Don;20.500;1 Porsi Oriental Don;food;https://food-cms.grab.com/compressed_webp/items/IDITE20241014185504044401/detail/0af778fa_11445.webp
72;Cola Float;11.500;Cola Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184901132779/detail/149affb1_10692.webp
73;Fanta Float;11.500;Fanta Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184903072072/detail/6c2996b1_10693.webp
74;Sprite Float;11.500;Sprite Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184901346012/detail/f767fb9d_10694.webp
75;Ice Cappuccino Float;23.500;Ice Cappuccino Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184903240376/detail/8812d195_12035.webp
76;Ice Coffee Nescafe;15.000;Ice Coffee Nescafe;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184902336545/detail/a8ce622a_11203.webp
77;Ice Latte Nescafe;21.500;Ice Latte Nescafe;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184904055126/detail/f290b6af_11204.webp
78;Ice Cappucino Nescafe;20.500;Ice Cappucino Nescafe;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20250302184904262388/detail/5207f30d_11205.webp
79;Coca Cola Zero Medium;13.500;Coca – Cola Zero Medium;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240913185517098193/detail/b8c67f50_13384.webp
80;Coca Cola;13.500;Coca-Cola;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240430191550140664/detail/3039883f_5584.webp
81;Sprite;13.500;Sprite;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240430191553058646/detail/e592a0f6_5585.webp
82;Fanta;13.500;Fanta;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240430191551137957/detail/c5791804_5586.webp
83;Mineral Water;10.000;Mineral Water;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240430191552141044/detail/557e7fa7_3575.webp
84;Lovlychee Float;13.000;Lovlychee Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20240503185626103121/detail/3e2d8b8d_6749.webp
85;Klepon Float;19.500;1 Klepon Float;drink;https://food-cms.grab.com/compressed_webp/items/IDITE20250223184700089678/detail/deb8cebd_13758.webp
